[ 1280110ms] [LOG] This log comes from assets/app.js - welcome to AssetMapper! 🎉 @ https://localhost/assets/app-TNXHCQF.js:9
[ 1280110ms] [LOG] details: {application: X} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293295ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293296ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293296ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293296ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293296ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293398ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293398ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293398ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293399ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293399ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293399ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293712ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293712ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293712ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293712ms] [LOG] details: {application: X, identifier: transition, controller: t, element: body} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293712ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
[ 1293713ms] [LOG] details: {application: X, identifier: swipe, controller: t, element: div.dayview} @ https://localhost/assets/vendor/@hotwired/stimulus/stimulus.index-S4zNcea.js:6
